,win rate,ADC,SUPPORT
164,47.28260869565217,Jinx,Annie
165,50.25041736227045,Jinx,Bard
166,53.47091932457786,Jinx,Blitzcrank
167,49.725776965265084,Jinx,Brand
168,51.95729537366548,Jinx,Braum
169,43.47826086956522,Jinx,Fiddlesticks
170,45.90163934426229,Jinx,Galio
171,55.03731343283582,Jinx,Janna
172,47.79270633397313,Jinx,Karma
173,52.6440410418311,Jinx,Leona
174,52.09876543209877,Jinx,Lulu
175,49.03846153846153,Jinx,Lux
177,47.706422018348626,Jinx,Malzahar
178,50.57471264367817,Jinx,Maokai
179,50.31250000000001,Jinx,Morgana
180,53.299492385786806,Jinx,Nami
183,45.42713567839196,Jinx,Rakan
185,56.086461888509675,Jinx,Sona
186,52.13270142180095,Jinx,Soraka
187,47.84172661870504,Jinx,Tahm Kench
188,53.588516746411486,Jinx,Taric
190,50.314465408805034,Jinx,Thresh
191,48.38709677419355,Jinx,Veigar
192,48.095238095238095,Jinx,VelKoz
193,46.09053497942387,Jinx,Zilean
194,49.063032367972745,Jinx,Zyra
195,51.037344398340245,Kalista,Alistar
196,45.588235294117645,Kalista,Bard
197,52.204176334106734,Kalista,Blitzcrank
198,51.08695652173913,Kalista,Brand
199,47.91666666666667,Kalista,Braum
200,54.02298850574713,Kalista,Janna
201,41.904761904761905,Kalista,Karma
202,52.159468438538205,Kalista,Leona
203,49.62406015037594,Kalista,Lulu
204,54.347826086956516,Kalista,Maokai
205,48.69565217391305,Kalista,Morgana
206,47.45762711864407,Kalista,Nami
208,46.62162162162162,Kalista,Rakan
209,52.307692307692314,Kalista,Sona
210,50.0,Kalista,Soraka
211,43.02325581395349,Kalista,Tahm Kench
212,50.79365079365079,Kalista,Taric
213,51.18942731277533,Kalista,Thresh
214,41.41414141414141,Kalista,Zyra
216,49.0,KogMaw,Alistar
217,55.85585585585585,KogMaw,Bard
218,58.41121495327103,KogMaw,Blitzcrank
219,49.51456310679612,KogMaw,Brand
220,55.072463768115945,KogMaw,Braum
221,56.735340729001585,KogMaw,Janna
222,52.20588235294118,KogMaw,Karma
223,51.24999999999999,KogMaw,Leona
224,54.12969283276451,KogMaw,Lulu
225,50.70422535211267,KogMaw,Lux
226,48.05194805194805,KogMaw,Maokai
227,49.26108374384236,KogMaw,Morgana
228,52.75080906148867,KogMaw,Nami
229,44.49339207048458,KogMaw,Rakan
230,52.1505376344086,KogMaw,Sona
231,52.851711026615966,KogMaw,Soraka
232,50.70422535211267,KogMaw,Tahm Kench
233,53.69649805447471,KogMaw,Thresh
234,44.303797468354425,KogMaw,Zyra
235,47.744360902255636,Lucian,Alistar
236,43.84384384384384,Lucian,Annie
237,51.949541284403665,Lucian,Bard
238,51.936818352764206,Lucian,Blitzcrank
239,50.41888804265042,Lucian,Brand
240,49.204328453214515,Lucian,Braum
241,52.910052910052904,Lucian,Fiddlesticks
242,47.24770642201835,Lucian,Galio
244,51.86915887850467,Lucian,Janna
245,48.45398326664242,Lucian,Karma
246,50.711132908288384,Lucian,Leona
247,50.24280911468061,Lucian,Lulu
248,51.355932203389834,Lucian,Lux
250,47.16981132075472,Lucian,Malzahar
251,50.19059720457433,Lucian,Maokai
253,49.873928391326274,Lucian,Morgana
254,50.9105625252934,Lucian,Nami
257,45.788530465949826,Lucian,Rakan
260,53.77720870678617,Lucian,Sona
261,51.70990566037735,Lucian,Soraka
262,45.95959595959596,Lucian,Tahm Kench
263,49.42263279445728,Lucian,Taric
265,50.28422184667384,Lucian,Thresh
266,50.28571428571429,Lucian,Veigar
267,51.11607142857143,Lucian,VelKoz
268,55.97609561752988,Lucian,Zilean
269,49.173878835562554,Lucian,Zyra
270,51.5527950310559,Miss Fortune,Alistar
271,43.90243902439025,Miss Fortune,Annie
272,47.61904761904761,Miss Fortune,Bard
273,56.34824667472793,Miss Fortune,Blitzcrank
274,53.73134328358209,Miss Fortune,Brand
275,50.3875968992248,Miss Fortune,Braum
276,51.94805194805194,Miss Fortune,Galio
277,52.0242914979757,Miss Fortune,Janna
278,47.88732394366197,Miss Fortune,Karma
279,57.502420135527586,Miss Fortune,Leona
280,53.73134328358209,Miss Fortune,Lulu
281,48.73646209386281,Miss Fortune,Lux
